2100702	Barbeque Nation	1	Guwahati	2nd Floor, Adityam Building, Ulubari, Guwahati	Ulubari	Ulubari, Guwahati	91.7598570000	26.1721190000	North Indian	1500	Rs.	0	0	0	0	4	4.9	Excellent	774
16608059	1918 Bistro & Grill	14	Tanunda	94 Murray St, Tanunda, SA	Tanunda	Tanunda, Tanunda	138.9660640000	-34.5196190000	Modern Australian, Australian	30	$	0	0	0	0	3	4.4	Very Good	339
17558684	Berry Patch Restaurant	216	Clatskanie	49289 Us-30, Westport, OR 97016	Clatskanie	Clatskanie, Clatskanie	-123.3681510000	46.1269670000	American, Breakfast, Desserts	10	$	0	0	0	0	1	4.3	Very Good	96
16604896	La Trattoria of Lavandula	14	Hepburn Springs	350 Hepburn-Newstead Road, Hepburn Springs, VIC	Hepburn Springs	Hepburn Springs, Hepburn Springs	144.1100620000	-37.2754940000	Italian, Fusion, Cafe	7	$	0	0	0	0	1	3.8	Good	93
17536645	Jehova es Mi Pastor Tacos y Burritos	216	Fernley	135 W. Main Street, Fernley, NV 89408	Fernley	Fernley, Fernley	-119.2526940000	39.6075150000	Mexican	10	$	0	0	0	0	1	3.7	Good	83
2900633	Barbeque Nation	1	Bhubaneshwar	Plot 12-13/557, 3rd Floor, Mauza Samantapuri,Gajapati Nagar, Chandrasekharpur, Bhubaneshwar	Chandrasekharpur	Chandrasekharpur, Bhubaneshwar	0.0000000000	0.0000000000	Mediterranean, Asian, Continental, North Indian, Arabian	1200	Rs.	0	0	0	0	3	4.6	Excellent	154
16609169	Three Anchors	14	Middleton Beach	2 Flinders Pde, Middleton Beach, WA	Middleton Beach	Middleton Beach, Middleton Beach	117.9171660000	-35.0258610000	Bar Food, Modern Australian	30	$	0	0	0	0	3	3.8	Good	176
18354483	Farzi Cafe	1	Pune	Level 1 & 2, Fortaleza Complex, East Avenue, Kalyani Nagar, Pune	Kalyani Nagar	Kalyani Nagar, Pune	73.9051007000	18.5436256000	Modern Indian	1500	Rs.	0	0	0	0	3	4.3	Very Good	868
17482142	Triangle Restaurant	216	Mc Millan	21053 State Hwy M28, Mc Millan, MI 49853	Mc Millan	Mc Millan, Mc Millan	-85.7363000000	46.3718000000	Breakfast, Burger	10	$	0	0	0	0	1	2.4	Poor	17
18400530	Noah's Barn Coffeenery	94	Bandung	Jl. Dayang Sumbi No. 2, Dago, Bandung	Dago	Dago, Bandung	107.6127895340	-6.8870575010	Cafe, Coffee and Tea, Western	150000	IDR	0	0	0	0	3	4.2	Very Good	22
16611498	Stillwater on Belmore	14	Lorn	27 Belmore Rd,, Lorn, NSW	Lorn	Lorn, Lorn	151.5584750000	-32.7280970000	Breakfast, Coffee and Tea	20	$	0	0	0	0	2	3.6	Good	18
16608209	Anchorage Cafe Restaurant Wine Bar	14	Victor Harbor	21 Flinders Parade, Victor Harbor, SA	Victor Harbor	Victor Harbor, Victor Harbor	138.6243160000	-35.5536609000	Coffee and Tea, Tapas, Australian	20	$	0	0	0	0	2	3.6	Good	96
16612550	5 Little Pigs	14	Huskisson	64 Owen St, Huskisson, NSW	Huskisson	Huskisson, Huskisson	150.6710743000	-35.0388698000	Breakfast, Modern Australian	20	$	0	0	0	0	2	4.1	Very Good	40
16611114	Whitebull Hotel	14	Armidale	117 Marsh St, Armidale, NSW	Armidale	Armidale, Armidale	151.6688792000	-30.5147169000	Bar Food, Steak	20	$	0	0	0	0	2	3.5	Good	25
18224282	Three Guys	1	Guwahati	R.G.B Road, Zonali, Near Jonali Bus Stop, Zoo Tiniali, Guwahati	Zoo Tiniali	Zoo Tiniali, Guwahati	91.7789697647	26.1676701132	Continental, North Indian, Chinese, Arabian, Thai	700	Rs.	0	0	0	0	2	4.3	Very Good	233
16512333	Britto's Bar & Restaurant	1	Goa	Baga Calangute, Bardez, Baga, Goa	Baga	Baga, Goa	73.7494780582	15.5612954890	North Indian, Continental, Chinese, Seafood	1400	Rs.	0	0	0	0	4	4.3	Very Good	2191
17559793	Fishpatrick's Crabby Cafe	216	Winchester Bay	196 Bayfront Loop, Winchester Bay, OR 97467	Winchester Bay	Winchester Bay, Winchester Bay	-124.1753460000	43.6789980000	Burger, Seafood, Steak	25	$	0	0	0	0	2	3.2	Average	16
16607969	Bespoke Harvest	14	Forrest	16 Grant St, Forrest, VIC	Forrest	Forrest, Forrest	143.7143150000	-38.5172920000	Cafe, Australian	20	$	0	0	0	0	2	3.7	Good	29
17842104	Mr.	14	Macedon	23 Victoria St, Macedon, VIC	Macedon	Macedon, Macedon	144.5641740000	-37.4231890000	Cafe	20	$	0	0	0	0	2	3.5	Good	31
17687832	Vince's Restaurant & Pizzeria	216	Monroe	619 4th Ave, Monroe, WI 53566	Monroe	Monroe, Monroe	-89.6534870000	42.6063060000	Italian, Pizza	25	$	0	0	0	0	2	3.6	Good	65
